%time,field.data
1547890529226645974,-7.52197265625
1547890529228861172,-7.52197265625
1547890529231150668,-7.52197265625
1547890529233162100,-7.52197265625
1547890529237303766,-7.52197265625
1547890529239230933,-7.52197265625
1547890529241681838,-7.52197265625
1547890529245411959,-7.52197265625
1547890529247653385,-7.52197265625
1547890529249933686,-7.52197265625
1547890529253614893,-7.52197265625
1547890529255564663,-7.52197265625
1547890529257924596,-7.52197265625
1547890529261863635,-7.52197265625
1547890529263757076,-7.52197265625
1547890529266194443,-7.52197265625
1547890529270047582,-7.52197265625
1547890529271900400,-7.52197265625
1547890529274212396,-7.52197265625
1547890529278432102,-7.52197265625
1547890529280466044,-7.52197265625
1547890529282552825,-7.52197265625
1547890529286638858,-7.52197265625
1547890529288463674,-7.52197265625
1547890529290556522,-7.52197265625
1547890529294454359,-7.52197265625
1547890529296565195,-7.52197265625
1547890529298614483,-7.52197265625
1547890529302744762,-7.52197265625
1547890529304518214,-7.52197265625
1547890529307005778,-7.52197265625
1547890529310865233,-7.52197265625
1547890529312807791,-7.52197265625
1547890529315134025,-7.52197265625
1547890529319051196,-7.52197265625
1547890529321000978,-7.52197265625
1547890529323313460,-7.52197265625
1547890529327459923,-7.52197265625
1547890529329285028,-7.52197265625
1547890529331491985,-7.52197265625
1547890529335490177,-7.52197265625
1547890529337618328,-7.52197265625
1547890529339940855,-7.52197265625
1547890529343633826,-7.52197265625
1547890529345560961,-7.52197265625
1547890529348013613,-7.52197265625
1547890529351829102,-7.52197265625
1547890529353728339,-7.52197265625
1547890529356124935,-7.52197265625
1547890529360019044,-7.52197265625
1547890529361980749,-7.52197265625
1547890529364263587,-7.52197265625
1547890529368346203,-7.52197265625
1547890529370287584,-7.52197265625
1547890529372377949,-7.52197265625
1547890529376477172,-7.52197265625
1547890529378350482,-7.52197265625
1547890529380752375,-7.52197265625
1547890529384704769,-7.52197265625
1547890529386534670,-7.52197265625
1547890529388908958,-7.52197265625
1547890529392920192,-7.52197265625
1547890529394945108,-7.52197265625
1547890529396976545,-7.52197265625
1547890529401016100,-7.52197265625
1547890529403261906,-7.52197265625
1547890529404934395,-7.52197265625
1547890529409293933,-7.52197265625
1547890529411118110,-7.52197265625
1547890529413312992,-7.52197265625
1547890529417490051,-7.52197265625
1547890529419375641,-7.52197265625
1547890529421452136,-7.52197265625
1547890529425724764,-7.52197265625
1547890529427384056,-7.52197265625
1547890529429752633,-7.52197265625
1547890529433846830,-7.52197265625
1547890529435742242,-7.52197265625
1547890529438042657,-7.52197265625
1547890529442121975,-7.52197265625
1547890529444098670,-7.52197265625
1547890529446037569,-7.52197265625
1547890529450013292,-7.52197265625
1547890529451868951,-7.52197265625
1547890529454391378,-7.52197265625
1547890529458395176,-7.52197265625
1547890529460263660,-7.52197265625
1547890529462510697,-7.52197265625
1547890529466698030,-7.52197265625
1547890529468460468,-7.52197265625
1547890529470701877,-7.52197265625
1547890529474669785,-7.52197265625
1547890529476442411,-7.52197265625
1547890529479093430,-7.52197265625
1547890529482963507,-7.52197265625
1547890529484843515,-7.52197265625
1547890529487062557,-7.52197265625
1547890529491242013,-7.52197265625
1547890529493194006,-7.52197265625
1547890529495094118,-7.52197265625
1547890529499140875,-7.52197265625
1547890529501039674,-7.52197265625
1547890529503438916,-7.52197265625
1547890529507364215,-7.52197265625
1547890529509277856,-7.52197265625
1547890529511586838,-7.52197265625
1547890529515744712,-7.52197265625
1547890529517522487,-7.52197265625
1547890529519906471,-7.52197265625
1547890529523981679,-7.52197265625
1547890529526168960,-7.52197265625
1547890529527940178,-7.52197265625
1547890529531913477,-7.52197265625
1547890529533854692,-7.52197265625
1547890529535840345,-7.52197265625
1547890529538094408,-7.52197265625
1547890529541196218,-7.52197265625
1547890529544330677,-7.52197265625
1547890529546465010,-7.52197265625
1547890529549680280,-7.52197265625
1547890529552712333,-7.52197265625
1547890529554607483,-7.52197265625
1547890529557641578,-7.52197265625
1547890529560836655,-7.52197265625
1547890529562610656,-7.52197265625
1547890529565721509,-7.52197265625
1547890529569031566,-7.52197265625
1547890529570886831,-7.52197265625
1547890529573974065,-7.52197265625
1547890529577291547,-7.52197265625
1547890529579080116,-7.52197265625
1547890529581539502,-7.52197265625
1547890529585304537,-7.52197265625
1547890529587424237,-7.52197265625
1547890529589582665,-7.52197265625
1547890529593696415,-7.52197265625
1547890529595551441,-7.52197265625
1547890529597982365,-7.52197265625
1547890529601900302,-7.52197265625
1547890529603689216,-7.52197265625
